txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
bank_000001,2026-04-01,NEFT CR-HDFCN00000000149-RAZORPAY SOFTW,81149112,0,131149112
bank_000002,2026-04-01,MB:KKBKN00000000185 RZPY SETTLEMENT,94272610,0,225421722
bank_000003,2026-04-02,BY TRANSFER FROM RAZORPAY SOFTWARE PVT LTD NEFT SBINN00000000223,113355451,0,338777173
bank_000004,2026-04-03,IMPS/UTIBN00000000087/RAZORPAYSOFT,60596621,0,399373794
bank_000005,2026-04-03,BY TRANSFER-NEFT*HDFCN00000000108*RAZORPAY,114316999,0,513690793
bank_000006,2026-04-03,BY TRANSFER FROM RAZORPAY SOFTWARE PVT LTD NEFT SBINN00000000130,47830665,0,561521458
bank_000007,2026-04-03,NEFT CR-KKBKN00000000213-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTLEMENT,85314838,0,646836296
bank_000008,2026-04-03,ACH C- RAZORPAY SOFTW HDFCN00000000214,19458556,0,666294852
bank_000009,2026-04-04,GATEWAY PAYOUT RAZORPAY,7560410,0,673855262
bank_000010,2026-04-04,MERCHANT SETTLEMENT CR,61769192,0,735624454
bank_000011,2026-04-05,ACH C- RAZORPAY SOFTW KKBKN00000000013,5899156,0,741523610
bank_000012,2026-04-05,NEFT-ICICN00000000107-RAZORPAY SOFTWARE PVT LTD,52526525,0,794050135
bank_000013,2026-04-05,RAZORPAY SOFTWARE PRIVATE LIMITED S,79862031,0,873912166
bank_000014,2026-04-05,CMS/HDFCN00000000199,5675307,0,879587473
bank_000015,2026-04-06,IMPS/UTIBN00000000008/RAZORPAYSOFT,120438977,0,1000026450
bank_000016,2026-04-06,RTGS KKBKN00000000043 RAZORPAY,67694488,0,1067720938
bank_000017,2026-04-06,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMENT REF HDFCN00000000138,6624133,0,1074345071
bank_000018,2026-04-07,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMENT ,44694246,0,1119039317
bank_000019,2026-04-07,MB:KKBKN00000000061 RZPY SETTLEMENT,96636437,0,1215675754
bank_000020,2026-04-07,BY TRANSFER FROM RAZORPAY SOFTWARE PVT LTD N,13762097,0,1229437851
bank_000021,2026-04-07,TRF FROM RAZORPAY REF KKBKN00000000097,58528517,0,1287966368
bank_000022,2026-04-07,BY TRANSFER-NEFT*HDFCN00000000120*RAZORPAY,80053218,0,1368019586
bank_000023,2026-04-07,NEFT-UTIBN00000000126-RAZORPAY SOFTWARE PVT LTD,22541755,0,1390561341
bank_000024,2026-04-07,NEFT-ICICN00000000144-RAZORPAY SOFTWARE PVT LTD,49156302,0,1439717643
bank_000025,2026-04-07,RTGS CR VERTEX LAB EQUIPMENT INV SETTLEMENT,13235460,0,1452953103
bank_000026,2026-04-08,IMPS/HDFCN00000000105/RAZORPAYSOFT,104128589,0,1557081692
